review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,31090058a58e5,Guía de turistas,Anastacio Rodríguez García,Aquiles Serdan,Aragón la Villa,Ciudad de México,Gustavo A. Madero
,0109012a58fba,Hospedaje,Ecocamp Ajusco,Los Gallos,Santo Tomas Ajusco,Ciudad de México,Tlalpan
,0409014b061dc,Agencia de viajes,EXCEL TOURS XIMBAL,Monte Alban,Vértiz Narvarte,Ciudad de México,Benito Juárez
,31090071fccd9,Guía de turistas,Héctor Gonzalez Cadena,Sur 71,Banjidal,Ciudad de México,Iztapalapa
,3109015567e16,Guía de turistas,ROBERTO CARLOS SPINDOLA FLORES ,Monterrey,Roma Sur,Ciudad de México,Cuauhtémoc
,3109007cc3255,Guía de turistas,AGNIESZKA MALGORZATA KIMLA,SUR 71,Banjidal,Ciudad de México,Iztapalapa
,0409003401b47,Agencia de viajes,Travents SA de CV,Cerro Huitzilac,Campestre Churubusco,Ciudad de México,Coyoacán
,0409006af50c2,Agencia de viajes,Sal a Viajar by Fraveo,Privada Calle1,Agrícola Pantitlán,Ciudad de México,Iztacalco
,04090054ba638,Agencia de viajes,PARTIDA WANDERLUST,TEXCOCO,Cuchilla del Tesoro,Ciudad de México,Gustavo A. Madero
,0409014b59197,Agencia de viajes,AMARA´S TRAVEL AGENCY,RUMANIA ,Portales Norte,Ciudad de México,Benito Juárez
,0409005421219,Agencia de viajes,DEEP BLUE TRAVEL,317,Nueva Atzacoalco,Ciudad de México,Gustavo A. Madero
,040900349dfb3,Agencia de viajes,Viajes Xitle,Tejamanil,Pedregal de Santo Domingo,Ciudad de México,Coyoacán
,040901548ab52,Agencia de viajes,TRAVESIAS MEXICANAS,RIO RHIN,Cuauhtémoc,Ciudad de México,Cuauhtémoc
,310901558e3f3,Guía de turistas,Eduardo Ezequiel Leyva Ramírez,Manuel Gonzalez,Nonoalco Tlatelolco,Ciudad de México,Cuauhtémoc
,04090057e60fd,Agencia de viajes,Viajes Brillantes by Fraveo,Villa Cuauhtemoc,Villa de Aragón,Ciudad de México,Gustavo A. Madero
,040900331b8d4,Agencia de viajes,IVORY TOURS,PERIFERICO SUR,Pedregal de Carrasco,Ciudad de México,Coyoacán
,04090153b98eb,Agencia de viajes,MAYORISTAS AEREOS,Av. BAJA CALIFORNIA,Hipódromo,Ciudad de México,Cuauhtémoc
,0409015f0b3e2,Agencia de viajes,LOVELY ONE TRAVEL,BUEN TONO ,Centro (Área 1),Ciudad de México,Cuauhtémoc
,04090144a2f54,Agencia de viajes,Vía Mundi,Union Postal ,Postal,Ciudad de México,Benito Juárez
,040900543ecb6,Agencia de viajes,Cateyan Tours by Gani Viajes,Lomas de Cuautepec,Lomas de Cuautepec,Ciudad de México,Gustavo A. Madero
,0409015f570b1,Agencia de viajes,Viajes Bumeran Cóndor,Quintana Roo,Roma Sur,Ciudad de México,Cuauhtémoc
,0409012983847,Agencia de viajes,Viajes Bumeran Ayuntamiento,Sor Juana Inés de la Cruz,Miguel Hidalgo 1A Sección,Ciudad de México,Tlalpan
,0409015122826,Agencia de viajes,Travelium,Chapultepec,Roma Norte,Ciudad de México,Cuauhtémoc
,3109014f57d2b,Guía de turistas,Jorge Mendoza Gonzalez,Xola,Álamos,Ciudad de México,Benito Juárez
,0409016eb621e,Agencia de viajes,Viajes Anahuac,Lago Zirahuen,Anáhuac II Sección,Ciudad de México,Miguel Hidalgo
,040901023e51b,Agencia de viajes,Viajero MX,Centenario,Merced Gómez,Ciudad de México,Álvaro Obregón
,0409010b37375,Agencia de viajes,Seven Summits,Centenario,Lomas de Plateros,Ciudad de México,Álvaro Obregón
,01090127011d0,Hospedaje,Holiday Inn and Suites México Medica Sur,Puente de Piedra,Toriello Guerra,Ciudad de México,Tlalpan
,0409003c0640f,Agencia de viajes,APIL Travels,13,Espartaco,Ciudad de México,Coyoacán
,0409015f79b1f,Agencia de viajes,Gran Tour,Rio Lerma,Cuauhtémoc,Ciudad de México,Cuauhtémoc
,2709010d1509d,Agencia integradora de servicios,Paralelo Meetings and Events,Desierto de los leones,Tetelpan,Ciudad de México,Álvaro Obregón
,0409016b67c27,Agencia de viajes,Safely Travel Shop,Lago Zurich,Ampliación Granada,Ciudad de México,Miguel Hidalgo
,0409002e3c67f,Agencia de viajes,GIRAS TURISTICAS Y EMPRESARIALES,Tlatenco,Santa Catarina,Ciudad de México,Azcapotzalco
,0409003f4f6e0,Agencia de viajes,The Travel Xperience by HS,División Del Norte,El Rosedal,Ciudad de México,Coyoacán
,0409016b67ec7,Agencia de viajes,ANDIOS TOURS ,RIO SAN JOAQUIN ,Ampliación Granada,Ciudad de México,Miguel Hidalgo
,0409007355826,Agencia de viajes,Viajalex,Radiodifusora Frte,Chinampac de Juárez,Ciudad de México,Iztapalapa
,0409014aa36f3,Agencia de viajes,mass vacaciones,Caleta,Narvarte Oriente,Ciudad de México,Benito Juárez
,0409008e8fc54,Agencia de viajes,Viajes Bumeran Horizontes,Coahuila,Santa Teresa,Ciudad de México,La Magdalena Contreras
,0109015461289,Hospedaje,Viajero CDMX Centro Hostel,San Idelfonso,Centro (Área 3),Ciudad de México,Cuauhtémoc
,0109015b03173,Hospedaje,Colima 71 Art Community Hotel,Colima,Roma Norte,Ciudad de México,Cuauhtémoc
,0409012689fa4,Agencia de viajes, Ugalde Travel,Avenida Ejido,Vergel de Coyoacán,Ciudad de México,Tlalpan
,31090166d7408,Guía de turistas,GABRIEL ERNESTO GOMEZ CRUZ,Mar Tirreno,Tacuba,Ciudad de México,Miguel Hidalgo
